$inflow Tw is used for Tw of qdt year 2018 YC 03/14/2023,
98.958,10
99,10
99.042,10
99.083,10
99.125,10
99.167,10
99.208,10
99.25,10
99.292,10
99.333,10
99.375,10
99.417,10
99.458,10
99.5,10
99.542,10
99.583,10
99.625,10
99.667,10
99.708,10
99.75,10
99.792,10
99.833,10
99.875,10
99.917,10
99.958,10
100,10
100.042,10
100.083,10
100.125,10
100.167,10
100.208,10
100.25,10
100.292,10
100.333,10
100.375,10
100.417,10
100.458,10
100.5,10
100.542,10
100.583,10
100.625,10
100.667,10
100.708,10
100.75,10
100.792,10
100.833,10
100.875,10
100.917,10
100.958,10
101,10
101.042,10
101.083,10
101.125,10
101.167,10
101.208,10
101.25,10
101.292,10
101.333,10
101.375,10
101.417,10
101.458,10
101.5,10
101.542,10
101.583,10
101.625,10
101.667,10
101.708,10
101.75,10
101.792,10
101.833,10
101.875,10
101.917,10
101.958,10
102,10
102.042,10
102.083,10
102.125,10
102.167,10
102.208,10
102.25,10
102.292,10
102.333,10
102.375,10
102.417,10
102.458,10
102.5,10
102.542,10
102.583,10
102.625,10
102.667,10
102.708,10
102.75,10
102.792,10
102.833,10
102.875,10
102.917,10
102.958,10
103,10
103.042,10
103.083,10
103.125,10
103.167,10
103.208,10
103.25,10
103.292,10
103.333,10
103.375,10
103.417,10
103.458,10
103.5,10
103.542,10
103.583,10
103.625,10
103.667,10
103.708,10
103.75,10
103.792,10
103.833,10
103.875,10
103.917,10
103.958,10
104,10
104.042,10
104.083,10
104.125,10
104.167,10
104.208,10
104.25,10
104.292,10
104.333,10
104.375,10
104.417,10
104.458,10
104.5,10
104.542,10
104.583,10
104.625,10
104.667,10
104.708,10
104.75,10
104.792,10
104.833,10
104.875,10
104.917,10
104.958,10
105,10
105.042,10
105.083,10
105.125,10
105.167,10
105.208,10
105.25,10
105.292,10
105.333,10
105.375,10
105.417,10
105.458,10
105.5,10
105.542,10
105.583,10
105.625,10
105.667,10
105.708,10
105.75,10
105.792,10
105.833,10
105.875,10
105.917,10
105.958,10
106,10
106.042,10
106.083,10
106.125,10
106.167,10
106.208,10
106.25,10
106.292,10
106.333,10
106.375,10
106.417,10
106.458,10
106.5,10
106.542,10
106.583,10
106.625,10
106.667,10
106.708,10
106.75,10
106.792,10
106.833,10
106.875,10
106.917,10
106.958,10
107,10
107.042,10
107.083,10
107.125,10
107.167,10
107.208,10
107.25,10
107.292,10
107.333,10
107.375,10
107.417,10
107.458,10
107.5,10
107.542,10
107.583,10
107.625,10
107.667,10
107.708,10
107.75,10
107.792,10
107.833,10
107.875,10
107.917,10
107.958,10
108,10
108.042,10
108.083,10
108.125,10
108.167,10
108.208,10
108.25,10
108.292,10
108.333,10
108.375,10
108.417,10
108.458,10
108.5,10
108.542,10
108.583,10
108.625,10
108.667,10
108.708,10
108.75,10
108.792,10
108.833,10
108.875,10
108.917,10
108.958,10
109,10
109.042,10
109.083,10
109.125,10
109.167,10
109.208,10
109.25,10
109.292,10
109.333,10
109.375,10
109.417,10
109.458,10
109.5,10
109.542,10
109.583,10
109.625,10
109.667,10
109.708,10
109.75,10
109.792,10
109.833,10
109.875,10
109.917,10
109.958,10
110,10
110.042,10
110.083,10
110.125,10
110.167,10
110.208,10
110.25,10
110.292,10
110.333,10
110.375,10
110.417,10
110.458,10
110.5,10
110.542,10
110.583,10
110.625,10
110.667,10
110.708,10
110.75,10
110.792,10
110.833,10
110.875,10
110.917,10
110.958,10
111,10
111.042,10
111.083,10
111.125,10
111.167,10
111.208,10
111.25,10
111.292,10
111.333,10
111.375,10
111.417,10
111.458,10
111.5,10
111.542,10
111.583,10
111.625,10
111.667,10
111.708,10
111.75,10
111.792,10
111.833,10
111.875,10
111.917,10
111.958,10
112,10
112.042,10
112.083,10
112.125,10
112.167,10
112.208,10
112.25,10
112.292,10
112.333,10
112.375,10
112.417,10
112.458,10
112.5,10
112.542,10
112.583,10
112.625,10
112.667,10
112.708,10
112.75,10
112.792,10
112.833,10
112.875,10
112.917,10
112.958,10
113,10
113.042,10
113.083,10
113.125,10
113.167,10
113.208,10
113.25,10
113.292,10
113.333,10
113.375,10
113.417,10
113.458,10
113.5,10
113.542,10
113.583,10
113.625,10
113.667,10
113.708,10
113.75,10
113.792,10
113.833,10
113.875,10
113.917,10
113.958,10
114,10
114.042,10
114.083,10
114.125,10
114.167,10
114.208,10
114.25,10
114.292,10
114.333,10
114.375,10
114.417,10
114.458,10
114.5,10
114.542,10
114.583,10
114.625,10
114.667,10
114.708,10
114.75,10
114.792,10
114.833,10
114.875,10
114.917,10
114.958,10
115,10
115.042,10
115.083,10
115.125,10
115.167,10
115.208,10
115.25,10
115.292,10
115.333,10
115.375,10
115.417,10
115.458,10
115.5,10
115.542,10
115.583,10
115.625,10
115.667,10
115.708,10
115.75,10
115.792,10
115.833,10
115.875,10
115.917,10
115.958,10
116,10
116.042,10
116.083,10
116.125,10
116.167,10
116.208,10
116.25,10
116.292,10
116.333,10
116.375,10
116.417,10
116.458,10
116.5,10
116.542,10
116.583,10
116.625,10
116.667,10
116.708,10
116.75,10
116.792,10
116.833,10
116.875,10
116.917,10
116.958,10
117,10
117.042,10
117.083,10
117.125,10
117.167,10
117.208,10
117.25,10
117.292,10
117.333,10
117.375,10
117.417,10
117.458,10
117.5,10
117.542,10
117.583,10
117.625,10
117.667,10
117.708,10
117.75,10
117.792,10
117.833,10
117.875,10
117.917,10
117.958,10
118,10
118.042,10
118.083,10
118.125,10
118.167,10
118.208,10
118.25,10
118.292,10
118.333,10
118.375,10
118.417,10
118.458,10
118.5,10
118.542,10
118.583,10
118.625,10
118.667,10
118.708,10
118.75,10
118.792,10
118.833,10
118.875,10
118.917,10
118.958,10
119,10
119.042,10
119.083,10
119.125,10
119.167,10
119.208,10
119.25,10
119.292,10
119.333,10
119.375,10
119.417,10
119.458,10
119.5,10
119.542,10
119.583,10
119.625,10
119.667,10
119.708,10
119.75,10
119.792,10
119.833,10
119.875,10
119.917,10
119.958,10
120,10
120.042,10
120.083,10
120.125,10
120.167,10
120.208,10
120.25,10
120.292,10
120.333,10
120.375,10
120.417,10
120.458,10
120.5,10
120.542,10
120.583,10
120.625,10
120.667,10
120.708,10
120.75,10
120.792,10
120.833,10
120.875,10
120.917,10
120.958,10
121,10
121.042,10
121.083,10
121.125,10
121.167,10
121.208,10
121.25,10
121.292,10
121.333,10
121.375,10
121.417,10
121.458,10
121.5,10
121.542,10
121.583,10
121.625,10
121.667,10
121.708,10
121.75,10
121.792,10
121.833,10
121.875,10
121.917,10
121.958,10
122,10
122.042,10
122.083,10
122.125,10
122.167,10
122.208,10
122.25,10
122.292,10
122.333,10
122.375,10
122.417,10
122.458,10
122.5,10
122.542,10
122.583,10
122.625,10
122.667,10
122.708,10
122.75,10
122.792,10
122.833,10
122.875,10
122.917,10
122.958,10
123,10
123.042,10
123.083,10
123.125,10
123.167,10
123.208,10
123.25,10
123.292,10
123.333,10
123.375,10
123.417,10
123.458,10
123.5,10
123.542,10
123.583,10
123.625,10
123.667,10
123.708,10
123.75,10
123.792,10
123.833,10
123.875,10
123.917,10
123.958,10
124,10
124.042,10
124.083,10
124.125,10
124.167,10
124.208,10
124.25,10
124.292,10
124.333,10
124.375,10
124.417,10
124.458,10
124.5,10
124.542,10
124.583,10
124.625,10
124.667,10
124.708,10
124.75,10
124.792,10
124.833,10
124.875,10
124.917,10
124.958,10
125,10
125.042,10
125.083,10
125.125,10
125.167,10
125.208,10
125.25,10
125.292,10
125.333,10
125.375,10
125.417,10
125.458,10
125.5,10
125.542,10
125.583,10
125.625,10
125.667,10
125.708,10
125.75,10
125.792,10
125.833,10
125.875,10
125.917,10
125.958,10
126,10
126.042,10
126.083,10
126.125,10
126.167,10
126.208,10
126.25,10
126.292,10
126.333,10
126.375,10
126.417,10
126.458,10
126.5,10
126.542,10
126.583,10
126.625,10
126.667,10
126.708,10
126.75,10
126.792,10
126.833,10
126.875,10
126.917,10
126.958,10
127,10
127.042,10
127.083,10
127.125,10
127.167,10
127.208,10
127.25,10
127.292,10
127.333,10
127.375,10
127.417,10
127.458,10
127.5,10
127.542,10
127.583,10
127.625,10
127.667,10
127.708,10
127.75,10
127.792,10
127.833,10
127.875,10
127.917,10
127.958,10
128,10
128.042,10
128.083,10
128.125,10
128.167,10
128.208,10
128.25,10
128.292,10
128.333,10
128.375,10
128.417,10
128.458,10
128.5,10
128.542,10
128.583,10
128.625,10
128.667,10
128.708,10
128.75,10
128.792,10
128.833,10
128.875,10
128.917,10
128.958,10
129,10
129.042,10
129.083,10
129.125,10
129.167,10
129.208,10
129.25,10
129.292,10
129.333,10
129.375,10
129.417,10
129.458,10
129.5,10
129.542,10
129.583,10
129.625,10
129.667,10
129.708,10
129.75,10
129.792,10
129.833,10
129.875,10
129.917,10
129.958,10
130,10
130.042,10
130.083,10
130.125,10
130.167,10
130.208,10
130.25,10
130.292,10
130.333,10
130.375,10
130.417,10
130.458,10
130.5,10
130.542,10
130.583,10
130.625,10
130.667,10
130.708,10
130.75,10
130.792,10
130.833,10
130.875,10
130.917,10
130.958,10
131,10
131.042,10
131.083,10
131.125,10
131.167,10
131.208,10
131.25,10
131.292,10
131.333,10
131.375,10
131.417,10
131.458,10
131.5,10
131.542,10
131.583,10
131.625,10
131.667,10
131.708,10
131.75,10
131.792,10
131.833,10
131.875,10
131.917,10
131.958,10
132,10
132.042,10
132.083,10
132.125,10
132.167,10
132.208,10
132.25,10
132.292,10
132.333,10
132.375,10
132.417,10
132.458,10
132.5,10
132.542,10
132.583,10
132.625,10
132.667,10
132.708,10
132.75,10
132.792,10
132.833,10
132.875,10
132.917,10
132.958,10
133,10
133.042,10
133.083,10
133.125,10
133.167,10
133.208,10
133.25,10
133.292,10
133.333,10
133.375,10
133.417,10
133.458,10
133.5,10
133.542,10
133.583,10
133.625,10
133.667,10
133.708,10
133.75,10
133.792,10
133.833,10
133.875,10
133.917,10
133.958,10
134,10
134.042,10
134.083,10
134.125,10
134.167,10
134.208,10
134.25,10
134.292,10
134.333,10
134.375,10
134.417,10
134.458,10
134.5,10
134.542,10
134.583,10
134.625,10
134.667,10
134.708,10
134.75,10
134.792,10
134.833,10
134.875,10
134.917,10
134.958,10
135,10
135.042,10
135.083,10
135.125,10
135.167,10
135.208,10
135.25,10
135.292,10
135.333,10
135.375,10
135.417,10
135.458,10
135.5,10
135.542,10
135.583,10
135.625,10
135.667,10
135.708,10
135.75,10
135.792,10
135.833,10
135.875,10
135.917,10
135.958,10
136,10
136.042,10
136.083,10
136.125,10
136.167,10
136.208,10
136.25,10
136.292,10
136.333,10
136.375,10
136.417,10
136.458,10
136.5,10
136.542,10
136.583,10
136.625,10
136.667,10
136.708,10
136.75,10
136.792,10
136.833,10
136.875,10
136.917,10
136.958,10
137,10
137.042,10
137.083,10
137.125,10
137.167,10
137.208,10
137.25,10
137.292,10
137.333,10
137.375,10
137.417,10
137.458,10
137.5,10
137.542,10
137.583,10
137.625,10
137.667,10
137.708,10
137.75,10
137.792,10
137.833,10
137.875,10
137.917,10
137.958,10
138,10
138.042,10
138.083,10
138.125,10
138.167,10
138.208,10
138.25,10
138.292,10
138.333,10
138.375,10
138.417,10
138.458,10
138.5,10
138.542,10
138.583,10
138.625,10
138.667,10
138.708,10
138.75,10
138.792,10
138.833,10
138.875,10
138.917,10
138.958,10
139,10
139.042,10
139.083,10
139.125,10
139.167,10
139.208,10
139.25,10
139.292,10
139.333,10
139.375,10
139.417,10
139.458,10
139.5,10
139.542,10
139.583,10
139.625,10
139.667,10
139.708,10
139.75,10
139.792,10
139.833,10
139.875,10
139.917,10
139.958,10
140,10
140.042,10
140.083,10
140.125,10
140.167,10
140.208,10
140.25,10
140.292,10
140.333,10
140.375,10
140.417,10
140.458,10
140.5,10
140.542,10
140.583,10
140.625,10
140.667,10
140.708,10
140.75,10
140.792,10
140.833,10
140.875,10
140.917,10
140.958,10
141,10
141.042,10
141.083,10
141.125,10
141.167,10
141.208,10
141.25,10
141.292,10
141.333,10
141.375,10
141.417,10
141.458,10
141.5,10
141.542,10
141.583,10
141.625,10
141.667,10
141.708,10
141.75,10
141.792,10
141.833,10
141.875,10
141.917,10
141.958,10
142,10
142.042,10
142.083,10
142.125,10
142.167,10
142.208,10
142.25,10
142.292,10
142.333,10
142.375,10
142.417,10
142.458,10
142.5,10
142.542,10
142.583,10
142.625,10
142.667,10
142.708,10
142.75,10
142.792,10
142.833,10
142.875,10
142.917,10
142.958,10
143,10
143.042,10
143.083,10
143.125,10
143.167,10
143.208,10
143.25,10
143.292,10
143.333,10
143.375,10
143.417,10
143.458,10
143.5,10
143.542,10
143.583,10
143.625,10
143.667,10
143.708,10
143.75,10
143.792,10
143.833,10
143.875,10
143.917,10
143.958,10
144,10
144.042,10
144.083,10
144.125,10
144.167,10
144.208,10
144.25,10
144.292,10
144.333,10
144.375,10
144.417,10
144.458,10
144.5,10
144.542,10
144.583,10
144.625,10
144.667,10
144.708,10
144.75,10
144.792,10
144.833,10
144.875,10
144.917,10
144.958,10
145,10
145.042,10
145.083,10
145.125,10
145.167,10
145.208,10
145.25,10
145.292,10
145.333,10
145.375,10
145.417,10
145.458,10
145.5,10
145.542,10
145.583,10
145.625,10
145.667,10
145.708,10
145.75,10
145.792,10
145.833,10
145.875,10
145.917,10
145.958,10
146,10
146.042,10
146.083,10
146.125,10
146.167,10
146.208,10
146.25,10
146.292,10
146.333,10
146.375,10
146.417,10
146.458,10
146.5,10
146.542,10
146.583,10
146.625,10
146.667,10
146.708,10
146.75,10
146.792,10
146.833,10
146.875,10
146.917,10
146.958,10
147,10
147.042,10
147.083,10
147.125,10
147.167,10
147.208,10
147.25,10
147.292,10
147.333,10
147.375,10
147.417,10
147.458,10
147.5,10
147.542,10
147.583,10
147.625,10
147.667,10
147.708,10
147.75,10
147.792,10
147.833,10
147.875,10
147.917,10
147.958,10
148,10
148.042,10
148.083,10
148.125,10
148.167,10
148.208,10
148.25,10
148.292,10
148.333,10
148.375,10
148.417,10
148.458,10
148.5,10
148.542,10
148.583,10
148.625,10
148.667,10
148.708,10
148.75,10
148.792,10
148.833,10
148.875,10
148.917,10
148.958,10
149,10
149.042,10
149.083,10
149.125,10
149.167,10
149.208,10
149.25,10
149.292,10
149.333,10
149.375,10
149.417,10
149.458,10
149.5,10
149.542,10
149.583,10
149.625,10
149.667,10
149.708,10
149.75,10
149.792,10
149.833,10
149.875,10
149.917,10
149.958,10
150,10
150.042,10
150.083,10
150.125,10
150.167,10
150.208,10
150.25,10
150.292,10
150.333,10
150.375,10
150.417,10
150.458,10
150.5,10
150.542,10
150.583,10
150.625,10
150.667,10
150.708,10
150.75,10
150.792,10
150.833,10
150.875,10
150.917,10
150.958,10
151,10
151.042,10
151.083,10
151.125,10
151.167,10
151.208,10
151.25,10
151.292,10
151.333,10
151.375,10
151.417,10
151.458,10
151.5,10
151.542,10
151.583,10
151.625,10
151.667,10
151.708,10
151.75,10
151.792,10
151.833,10
151.875,10
151.917,10
151.958,10
152,10
152.042,10
152.083,10
152.125,10
152.167,10
152.208,10
152.25,10
152.292,10
152.333,10
152.375,10
152.417,10
152.458,10
152.5,10
152.542,10
152.583,10
152.625,10
152.667,10
152.708,10
152.75,10
152.792,10
152.833,10
152.875,10
152.917,10
152.958,10
153,10
153.042,10
153.083,10
153.125,10
153.167,10
153.208,10
153.25,10
153.292,10
153.333,10
153.375,10
153.417,10
153.458,10
153.5,10
153.542,10
153.583,10
153.625,10
153.667,10
153.708,10
153.75,10
153.792,10
153.833,10
153.875,10
153.917,10
153.958,10
154,10
154.042,10
154.083,10
154.125,10
154.167,10
154.208,10
154.25,10
154.292,10
154.333,10
154.375,10
154.417,10
154.458,10
154.5,10
154.542,10
154.583,10
154.625,10
154.667,10
154.708,10
154.75,10
154.792,10
154.833,10
154.875,10
154.917,10
154.958,10
155,10
155.042,10
155.083,10
155.125,10
155.167,10
155.208,10
155.25,10
155.292,10
155.333,10
155.375,10
155.417,10
155.458,10
155.5,10
155.542,10
155.583,10
155.625,10
155.667,10
155.708,10
155.75,10
155.792,10
155.833,10
155.875,10
155.917,10
155.958,10
156,10
156.042,10
156.083,10
156.125,10
156.167,10
156.208,10
156.25,10
156.292,10
156.333,10
156.375,10
156.417,10
156.458,10
156.5,10
156.542,10
156.583,10
156.625,10
156.667,10
156.708,10
156.75,10
156.792,10
156.833,10
156.875,10
156.917,10
156.958,10
157,10
157.042,10
157.083,10
157.125,10
157.167,10
157.208,10
157.25,10
157.292,10
157.333,10
157.375,10
157.417,10
157.458,10
157.5,10
157.542,10
157.583,10
157.625,10
157.667,10
157.708,10
157.75,10
157.792,10
157.833,10
157.875,10
157.917,10
157.958,10
158,10
158.042,10
158.083,10
158.125,10
158.167,10
158.208,10
158.25,10
158.292,10
158.333,10
158.375,10
158.417,10
158.458,10
158.5,10
158.542,10
158.583,10
158.625,10
158.667,10
158.708,10
158.75,10
158.792,10
158.833,10
158.875,10
158.917,10
158.958,10
159,10
159.042,10
159.083,10
159.125,10
159.167,10
159.208,10
159.25,10
159.292,10
159.333,10
159.375,10
159.417,10
159.458,10
159.5,10
159.542,10
159.583,10
159.625,10
159.667,10
159.708,10
159.75,10
159.792,10
159.833,10
159.875,10
159.917,10
159.958,10
160,10
160.042,10
160.083,10
160.125,10
160.167,10
160.208,10
160.25,10
160.292,10
160.333,10
160.375,10
160.417,10
160.458,10
160.5,10
160.542,10
160.583,10
160.625,10
160.667,10
160.708,10
160.75,10
160.792,10
160.833,10
160.875,10
160.917,10
160.958,10
161,10
161.042,10
161.083,10
161.125,10
161.167,10
161.208,10
161.25,10
161.292,10
161.333,10
161.375,10
161.417,10
161.458,10
161.5,10
161.542,10
161.583,10
161.625,10
161.667,10
161.708,10
161.75,10
161.792,10
161.833,10
161.875,10
161.917,10
161.958,10
162,10
162.042,10
162.083,10
162.125,10
162.167,10
162.208,10
162.25,10
162.292,10
162.333,10
162.375,10
162.417,10
162.458,10
162.5,10
162.542,10
162.583,10
162.625,10
162.667,10
162.708,10
162.75,10
162.792,10
162.833,10
162.875,10
162.917,10
162.958,10
163,10
163.042,10
163.083,10
163.125,10
163.167,10
163.208,10
163.25,10
163.292,10
163.333,10
163.375,10
163.417,10
163.458,10
163.5,10
163.542,10
163.583,10
163.625,10
163.667,10
163.708,10
163.75,10
163.792,10
163.833,10
163.875,10
163.917,10
163.958,10
164,10
164.042,10
164.083,10
164.125,10
164.167,10
164.208,10
164.25,10
164.292,10
164.333,10
164.375,10
164.417,10
164.458,10
164.5,10
164.542,10
164.583,10
164.625,10
164.667,10
164.708,10
164.75,10
164.792,10
164.833,10
164.875,10
164.917,10
164.958,10
165,10
165.042,10
165.083,10
165.125,10
165.167,10
165.208,10
165.25,10
165.292,10
165.333,10
165.375,10
165.417,10
165.458,10
165.5,10
165.542,10
165.583,10
165.625,10
165.667,10
165.708,10
165.75,10
165.792,10
165.833,10
165.875,10
165.917,10
165.958,10
166,10
166.042,10
166.083,10
166.125,10
166.167,10
166.208,10
166.25,10
166.292,10
166.333,10
166.375,10
166.417,10
166.458,10
166.5,10
166.542,10
166.583,10
166.625,10
166.667,10
166.708,10
166.75,10
166.792,10
166.833,10
166.875,10
166.917,10
166.958,10
167,10
167.042,10
167.083,10
167.125,10
167.167,10
167.208,10
167.25,10
167.292,10
167.333,10
167.375,10
167.417,10
167.458,10
167.5,10
167.542,10
167.583,10
167.625,10
167.667,10
167.708,10
167.75,10
167.792,10
167.833,10
167.875,10
167.917,10
167.958,10
168,10
168.042,10
168.083,10
168.125,10
168.167,10
168.208,10
168.25,10
168.292,10
168.333,10
168.375,10
168.417,10
168.458,10
168.5,10
168.542,10
168.583,10
168.625,10
168.667,10
168.708,10
168.75,10
168.792,10
168.833,10
168.875,10
168.917,10
168.958,10
169,10
169.042,10
169.083,10
169.125,10
169.167,10
169.208,10
169.25,10
169.292,10
169.333,10
169.375,10
169.417,10
169.458,10
169.5,10
169.542,10
169.583,10
169.625,10
169.667,10
169.708,10
169.75,10
169.792,10
169.833,10
169.875,10
169.917,10
169.958,10
170,10
170.042,10
170.083,10
170.125,10
170.167,10
170.208,10
170.25,10
170.292,10
170.333,10
170.375,10
170.417,10
170.458,10
170.5,10
170.542,10
170.583,10
170.625,10
170.667,10
170.708,10
170.75,10
170.792,10
170.833,10
170.875,10
170.917,10
170.958,10
171,10
171.042,10
171.083,10
171.125,10
171.167,10
171.208,10
171.25,10
171.292,10
171.333,10
171.375,10
171.417,10
171.458,10
171.5,10
171.542,10
171.583,10
171.625,10
171.667,10
171.708,10
171.75,10
171.792,10
171.833,10
171.875,10
171.917,10
171.958,10
172,10
172.042,10
172.083,10
172.125,10
172.167,10
172.208,10
172.25,10
172.292,10
172.333,10
172.375,10
172.417,10
172.458,10
172.5,10
172.542,10
172.583,10
172.625,10
172.667,10
172.708,10
172.75,10
172.792,10
172.833,10
172.875,10
172.917,10
172.958,10
173,10
173.042,10
173.083,10
173.125,10
173.167,10
173.208,10
173.25,10
173.292,10
173.333,10
173.375,10
173.417,10
173.458,10
173.5,10
173.542,10
173.583,10
173.625,10
173.667,10
173.708,10
173.75,10
173.792,10
173.833,10
173.875,10
173.917,10
173.958,10
174,10
174.042,10
174.083,10
174.125,10
174.167,10
174.208,10
174.25,10
174.292,10
174.333,10
174.375,10
174.417,10
174.458,10
174.5,10
174.542,10
174.583,10
174.625,10
174.667,10
174.708,10
174.75,10
174.792,10
174.833,10
174.875,10
174.917,10
174.958,10
175,10
175.042,10
175.083,10
175.125,10
175.167,10
175.208,10
175.25,10
175.292,10
175.333,10
175.375,10
175.417,10
175.458,10
175.5,10
175.542,10
175.583,10
175.625,10
175.667,10
175.708,10
175.75,10
175.792,10
175.833,10
175.875,10
175.917,10
175.958,10
176,10
176.042,10
176.083,10
176.125,10
176.167,10
176.208,10
176.25,10
176.292,10
176.333,10
176.375,10
176.417,10
176.458,10
176.5,10
176.542,10
176.583,10
176.625,10
176.667,10
176.708,10
176.75,10
176.792,10
176.833,10
176.875,10
176.917,10
176.958,10
177,10
177.042,10
177.083,10
177.125,10
177.167,10
177.208,10
177.25,10
177.292,10
177.333,10
177.375,10
177.417,10
177.458,7.87
177.5,8.07
177.542,8.07
177.583,8.045
177.625,7.995
177.667,7.97
177.708,7.945
177.75,7.87
177.792,7.845
177.833,7.845
177.875,7.845
177.917,7.845
177.958,8.045
178,7.87
178.042,7.895
178.083,7.895
178.125,7.895
178.167,7.895
178.208,7.895
178.25,7.895
178.292,7.895
178.333,7.895
178.375,7.92
178.417,7.87
178.458,7.895
178.5,7.995
178.542,8.045
178.583,8.02
178.625,7.995
178.667,7.945
178.708,7.945
178.75,7.87
178.792,7.895
178.833,7.895
178.875,7.895
178.917,7.895
178.958,7.895
179,8.045
179.042,8.07
179.083,8.095
179.125,8.145
179.167,8.145
179.208,8.07
179.25,7.87
179.292,7.87
179.333,7.87
179.375,7.895
179.417,7.87
179.458,7.87
179.5,8.02
179.542,8.02
179.583,8.02
179.625,7.97
179.667,7.97
179.708,7.945
179.75,7.87
179.792,7.87
179.833,7.87
179.875,7.87
179.917,7.845
179.958,7.82
180,7.945
180.042,7.995
180.083,8.045
180.125,8.07
180.167,8.095
180.208,7.995
180.25,7.845
180.292,7.845
180.333,7.87
180.375,7.87
180.417,7.895
180.458,7.895
180.5,7.945
180.542,8.02
180.583,8.02
180.625,7.995
180.667,7.945
180.708,7.92
180.75,7.845
180.792,7.845
180.833,7.87
180.875,7.87
180.917,7.82
180.958,7.845
181,8.095
181.042,8.145
181.083,8.145
181.125,8.145
181.167,8.145
181.208,7.97
181.25,7.87
181.292,7.87
181.333,7.87
181.375,7.895
181.417,7.87
181.458,7.895
181.5,7.97
181.542,8.045
181.583,8.045
181.625,8.02
181.667,8.02
181.708,7.995
181.75,7.92
181.792,7.92
181.833,7.895
181.875,7.895
181.917,7.895
181.958,7.87
182,7.995
182.042,8.045
182.083,8.07
182.125,8.12
182.167,8.12
182.208,8.045
182.25,7.895
182.292,7.87
182.333,7.87
182.375,7.895
182.417,7.895
182.458,7.895
182.5,7.97
182.542,7.995
182.583,8.02
182.625,7.995
182.667,7.97
182.708,7.945
182.75,7.87
182.792,7.87
182.833,7.87
182.875,7.87
182.917,7.845
182.958,8.07
183,8.095
183.042,8.095
183.083,8.095
183.125,8.095
183.167,8.095
183.208,7.945
183.25,7.845
183.292,7.845
183.333,7.87
183.375,7.87
183.417,7.87
183.458,7.895
183.5,7.995
183.542,7.995
183.583,7.995
183.625,7.995
183.667,7.97
183.708,7.97
183.75,7.895
183.792,7.895
183.833,7.895
183.875,7.87
183.917,7.87
183.958,7.87
184,8.07
184.042,8.095
184.083,8.095
184.125,8.095
184.167,8.095
184.208,7.945
184.25,7.845
184.292,7.845
184.333,7.82
184.375,7.845
184.417,7.845
184.458,7.895
184.5,8.02
184.542,8.02
184.583,7.995
184.625,7.945
184.667,7.945
184.708,7.945
184.75,7.87
184.792,7.87
184.833,7.87
184.875,7.845
184.917,7.845
184.958,7.845
185,7.87
185.042,7.92
185.083,7.97
185.125,7.97
185.167,7.995
185.208,7.945
185.25,7.87
185.292,7.87
185.333,7.895
185.375,7.895
185.417,7.92
185.458,7.945
185.5,7.995
185.542,7.995
185.583,7.945
185.625,7.945
185.667,7.92
185.708,7.92
185.75,7.845
185.792,7.845
185.833,7.87
185.875,7.87
185.917,7.82
185.958,7.845
186,7.845
186.042,7.995
186.083,8.045
186.125,8.095
186.167,8.07
186.208,7.87
186.25,7.87
186.292,7.87
186.333,7.87
186.375,7.87
186.417,7.895
186.458,7.945
186.5,8.07
186.542,7.945
186.583,7.995
186.625,8.045
186.667,8.07
186.708,8.02
186.75,7.895
186.792,7.895
186.833,7.895
186.875,7.895
186.917,7.895
186.958,7.92
187,8.02
187.042,8.045
187.083,8.07
187.125,8.095
187.167,8.12
187.208,8.02
187.25,7.895
187.292,7.92
187.333,7.92
187.375,7.895
187.417,7.92
187.458,7.945
187.5,7.97
187.542,8.145
187.583,8.02
187.625,8.095
187.667,8.12
187.708,8.02
187.75,7.895
187.792,7.87
187.833,7.87
187.875,7.995
187.917,8.07
187.958,8.095
188,8.12
188.042,8.145
188.083,8.145
188.125,8.145
188.167,8.145
188.208,8.07
188.25,7.895
188.292,7.895
188.333,7.895
188.375,7.895
188.417,7.895
188.458,7.97
188.5,7.945
188.542,8.02
188.583,8.12
188.625,8.17
188.667,8.145
188.708,8.045
188.75,7.92
188.792,7.92
188.833,7.92
188.875,7.92
188.917,7.895
188.958,7.945
189,8.02
189.042,8.045
189.083,8.07
189.125,8.095
189.167,8.095
189.208,7.995
189.25,7.895
189.292,7.895
189.333,7.895
189.375,7.92
189.417,7.92
189.458,7.92
189.5,7.945
189.542,8.045
189.583,8.145
189.625,8.17
189.667,8.145
189.708,8.045
189.75,7.895
189.792,7.895
189.833,7.895
189.875,7.895
189.917,7.895
189.958,7.895
190,7.97
190.042,7.995
190.083,8.02
190.125,8.045
190.167,8.045
190.208,7.995
190.25,7.87
190.292,7.895
190.333,7.92
190.375,7.895
190.417,7.92
190.458,7.92
190.5,7.995
190.542,8.045
190.583,8.045
190.625,8.045
190.667,8.045
190.708,8.02
190.75,7.92
190.792,7.92
190.833,7.895
190.875,7.92
190.917,7.92
190.958,7.845
191,8.12
191.042,8.12
191.083,8.145
191.125,8.145
191.167,8.12
191.208,8.07
191.25,7.895
191.292,7.895
191.333,7.895
191.375,7.92
191.417,7.97
191.458,7.945
191.5,8.07
191.542,8.095
191.583,8.095
191.625,8.095
191.667,8.07
191.708,8.045
191.75,7.92
191.792,7.895
191.833,7.92
191.875,7.92
191.917,7.92
191.958,7.945
192,8.02
192.042,8.045
192.083,8.07
192.125,8.07
192.167,8.095
192.208,8.095
192.25,8.02
